household_id,person_number,puma_area_code,age_years,sex,race_code,education_code,marital_status,wages_income,total_personal_income,income_to_poverty_ratio,employment_status_code
2023HU0309490,2,101,69,2,6,20,1,28000,78800,501,1
2023HU0085193,1,102,82,2,2,16,1,0,3700,53,6
2023HU0886446,1,102,31,2,1,21,1,112000,124000,501,1
2023HU0305644,1,104,39,1,2,16,3,23000,23000,145,3
2023HU0550871,1,102,49,2,9,22,5,87000,87000,501,1
2023HU0832928,1,102,43,1,1,21,1,150000,150000,501,1
2023HU1115274,2,105,25,2,1,21,5,50000,50000,321,1
2023HU0640071,2,105,35,2,1,22,1,0,11000,501,2
2023HU0867274,1,106,63,2,1,21,3,0,109000,501,1
2023HU0602321,1,106,34,1,1,21,5,123000,147500,501,1
2023HU1096140,3,104,6,2,2,3,5,,,501,
2023HU0229332,1,106,27,1,1,21,5,102000,102000,501,1
2023HU0804640,1,105,69,1,1,21,5,0,36600,252,6
2023GQ0126379,1,106,19,1,9,19,5,5400,5400,,3
2023HU0401753,1,105,70,1,2,19,1,0,24000,294,6
2023HU1208667,4,105,1,1,9,,5,,,501,
2023HU0230484,9,106,71,2,2,16,2,0,2500,89,6
2023HU0946598,1,101,62,2,1,22,1,99000,221000,501,1
2023HU0379711,4,101,11,2,1,9,5,,,501,
2023HU1019123,1,103,57,1,2,16,3,0,11000,70,6
2023HU0673383,3,106,22,1,1,21,5,76000,76700,498,1
2023HU0693854,1,103,80,1,1,23,1,0,70000,501,6
2023HU0371901,4,102,3,2,8,2,5,,,501,
2023HU0445698,1,102,31,2,1,22,1,105000,105000,501,1
2023HU0621522,1,104,38,2,2,11,5,0,0,0,6
2023HU0729989,3,103,94,2,2,16,2,0,10900,501,6
2023HU0402798,3,101,9,2,1,6,5,,,501,
2023HU0355880,1,102,35,1,1,22,1,66000,68000,501,1
2023HU1011945,1,103,41,1,1,21,3,138000,148000,501,1
2023HU1446641,3,104,8,2,2,4,5,,,501,
2023HU0901122,1,105,25,2,2,22,5,52000,52000,338,1
2023HU1393013,1,105,43,2,1,23,3,340000,340050,501,1
2023HU0570704,3,103,8,2,9,5,5,,,501,
2023HU1134295,1,105,29,2,1,22,1,80000,80000,501,1
2023HU0875370,2,103,34,1,1,23,1,186000,186200,501,1
2023HU0342496,2,101,30,1,1,21,5,75000,75000,481,1
2023GQ0085904,1,106,23,1,1,18,5,3400,3400,,1
2023HU1085215,1,106,85,1,1,24,1,0,80100,501,6
2023HU1138381,4,101,13,1,1,10,5,,,501,
2023HU0923700,2,104,52,2,2,20,5,153000,153000,501,1
2023HU0579038,1,103,34,1,8,17,5,60000,60000,388,1
2023HU1299810,2,106,31,2,1,21,1,150000,150000,501,1
2023HU0834205,1,102,36,2,2,23,5,89000,94000,501,1
2023HU0094590,1,102,94,2,2,18,2,0,123000,501,6
2023GQ0159715,1,103,59,1,2,1,5,0,0,0,6
2023GQ0013143,1,103,52,1,2,17,1,0,0,,6
2023HU1090801,3,105,28,2,1,22,5,89000,89000,501,2
2023HU0386448,3,103,1,2,1,,5,,,501,
2023HU0359020,1,103,34,2,1,21,1,135000,135000,501,1
2023HU0137564,2,104,66,1,2,16,3,60000,68000,501,1
2023HU0905520,1,103,29,1,2,20,3,29900,46900,298,1
2023HU0379098,2,101,66,2,1,21,1,0,2700,501,6
2023HU0762161,1,101,56,2,1,22,3,250000,250000,501,1
2023HU0877644,1,101,53,2,6,22,1,120000,120000,395,1
